"variable","mean"
"hb","137.738310412574"
"hct","0.409455009823183"
"rbc","4.53758349705305"
"mch","30.4134774066798"
"mchc","336.157956777996"
"pltlt","5.41788604011861"
"wbc","1.76946330059259"
"neut_p","0.567550884086444"
"lympho_p","0.319678192534381"
"mono_p","0.0774"
"ca","2.34249607072692"
"sodium","141.578781925344"
"cl","105.05068762279"
"k","4.21053045186641"
"chol","5.28857646365422"
"trig","0.1416747279069"
"glu","1.63140241789273"
"alb","42.0839685658153"
"alkp","4.34511681264561"
"alt","3.12504978357064"
"ast","3.13354160939947"
"creat","4.41622890079021"
"bun_creat","29.9289894953098"
"tot_prot","72.4404715127701"
